Ano;Unidade Geográfica;Localização;Dependência Administrativa;Total Aprovação no Ens. Fundamental;Total Aprovação Médio;Total  Aprovação Médio Não-Seriado;Total Reprovação no Ens. Fundamental;Total Reprovação no Ens. Médio;Total  Reprovação Médio Não-Seriado;Total Abandono no Ens. Fundamental;Total Abandono Médio;Total  Abandono Médio Não-Seriado;;;;;;;;;
2015;Bahia;Rural;Municipal;81,8;80,1;--;13,9;7,3;--;4,3;12,6;--;;;;;;;;;
2015;Bahia;Rural;Particular;93,7;93,1;--;5,8;5,2;--;0,5;1,7;--;;;;;;;;;
2015;Minas Gerais;Urbana;Pública;92,2;79,5;84,3;6,3;13,1;15,0;1,5;7,4;0,7;;;;;;;;;
2015;Minas Gerais;Urbana;Federal;95,4;86,2;84,3;4,4;12,9;15,0;0,2;0,9;0,7;;;;;;;;;
2015;Minas Gerais;Urbana;Estadual;90,5;79,3;--;7,5;13,2;--;2,0;7,5;--;;;;;;;;;
2015;Minas Gerais;Urbana;Municipal;94,2;83,9;--;5,0;11,3;--;0,8;4,8;--;;;;;;;;;
2015;Minas Gerais;Urbana;Particular;97,3;93,6;89,7;2,7;6,0;0,0;0,0;0,4;10,3;;;;;;;;;
2015;Minas Gerais;Rural;Pública;95,3;88,5;--;3,6;6,2;--;1,1;5,3;--;;;;;;;;;
2015;Minas Gerais;Rural;Federal;--;85,0;--;--;11,4;--;--;3,6;--;;;;;;;;;
2015;Minas Gerais;Rural;Estadual;93,2;89,6;--;4,9;4,6;--;1,9;5,8;--;;;;;;;;;
2015;Minas Gerais;Rural;Municipal;95,9;85,4;--;3,2;7,7;--;0,9;6,9;--;;;;;;;;;
2015;Minas Gerais;Rural;Particular;96,2;95,2;--;2,7;1,6;--;1,1;3,2;--;;;;;;;;;
2015;Espírito Santo;Urbana;Pública;86,5;76,8;98,6;12,2;17,7;0,0;1,3;5,5;1,4;;;;;;;;;
